naics,description,as_of_date,value,is_sa,release_as_of_date
,"Retail & food services, total",2001-05-01,291306,1,2001-05-01
,"Retail & food services, total",2001-04-01,291090,1,2001-05-01
,"Retail & food services, total",2001-03-01,287102,1,2001-05-01
,"Retail & food services, total",2000-05-01,280547,1,2001-05-01
,"Retail & food services, total",2000-04-01,279961,1,2001-05-01
,Total (excl. motor vehicle &  parts),2001-05-01,220625,1,2001-05-01
,Total (excl. motor vehicle &  parts),2001-04-01,219917,1,2001-05-01
,Total (excl. motor vehicle &  parts),2001-03-01,217525,1,2001-05-01
,Total (excl. motor vehicle &  parts),2000-05-01,212168,1,2001-05-01
,Total (excl. motor vehicle &  parts),2000-04-01,211494,1,2001-05-01
,Retail ,2001-05-01,264587,1,2001-05-01
,Retail ,2001-04-01,264639,1,2001-05-01
,Retail ,2001-03-01,260695,1,2001-05-01
,Retail ,2000-05-01,255325,1,2001-05-01
,Retail ,2000-04-01,254612,1,2001-05-01
,GAFO,2001-05-01,(*),1,2001-05-01
,GAFO,2001-04-01,74736,1,2001-05-01
,GAFO,2001-03-01,73822,1,2001-05-01
,GAFO,2000-05-01,73214,1,2001-05-01
,GAFO,2000-04-01,72718,1,2001-05-01
441,Motor vehicle & parts dealers,2001-05-01,70681,1,2001-05-01
441,Motor vehicle & parts dealers,2001-04-01,71173,1,2001-05-01
441,Motor vehicle & parts dealers,2001-03-01,69577,1,2001-05-01
441,Motor vehicle & parts dealers,2000-05-01,68379,1,2001-05-01
441,Motor vehicle & parts dealers,2000-04-01,68467,1,2001-05-01
"4411,4412",Auto & other motor veh. dealers,2001-05-01,64506,1,2001-05-01
"4411,4412",Auto & other motor veh. dealers,2001-04-01,65026,1,2001-05-01
"4411,4412",Auto & other motor veh. dealers,2001-03-01,63518,1,2001-05-01
"4411,4412",Auto & other motor veh. dealers,2000-05-01,62249,1,2001-05-01
"4411,4412",Auto & other motor veh. dealers,2000-04-01,62479,1,2001-05-01
442,Furniture & home furnishings stores,2001-05-01,7691,1,2001-05-01
442,Furniture & home furnishings stores,2001-04-01,7600,1,2001-05-01
442,Furniture & home furnishings stores,2001-03-01,7613,1,2001-05-01
442,Furniture & home furnishings stores,2000-05-01,7745,1,2001-05-01
442,Furniture & home furnishings stores,2000-04-01,7722,1,2001-05-01
443,Electronics & appliance stores,2001-05-01,7027,1,2001-05-01
443,Electronics & appliance stores,2001-04-01,7034,1,2001-05-01
443,Electronics & appliance stores,2001-03-01,7079,1,2001-05-01
443,Electronics & appliance stores,2000-05-01,7306,1,2001-05-01
443,Electronics & appliance stores,2000-04-01,7384,1,2001-05-01
44311,"Appl., T.V., &  camera",2001-05-01,(*),1,2001-05-01
44311,"Appl., T.V., &  camera",2001-04-01,5024,1,2001-05-01
44311,"Appl., T.V., &  camera",2001-03-01,5036,1,2001-05-01
44311,"Appl., T.V., &  camera",2000-05-01,5008,1,2001-05-01
44311,"Appl., T.V., &  camera",2000-04-01,5056,1,2001-05-01
44312,Computer & software stores,2001-05-01,(*),1,2001-05-01
44312,Computer & software stores,2001-04-01,2010,1,2001-05-01
44312,Computer & software stores,2001-03-01,2043,1,2001-05-01
44312,Computer & software stores,2000-05-01,2298,1,2001-05-01
44312,Computer & software stores,2000-04-01,2328,1,2001-05-01
444,Building material & garden eq. & supplies dealers,2001-05-01,24825,1,2001-05-01
444,Building material & garden eq. & supplies dealers,2001-04-01,24986,1,2001-05-01
444,Building material & garden eq. & supplies dealers,2001-03-01,24179,1,2001-05-01
444,Building material & garden eq. & supplies dealers,2000-05-01,23112,1,2001-05-01
444,Building material & garden eq. & supplies dealers,2000-04-01,22886,1,2001-05-01
4441,Building mat. & supplies dealers,2001-05-01,(*),1,2001-05-01
4441,Building mat. & supplies dealers,2001-04-01,21469,1,2001-05-01
4441,Building mat. & supplies dealers,2001-03-01,20848,1,2001-05-01
4441,Building mat. & supplies dealers,2000-05-01,20072,1,2001-05-01
4441,Building mat. & supplies dealers,2000-04-01,19910,1,2001-05-01
445,Food & beverage stores,2001-05-01,39974,1,2001-05-01
445,Food & beverage stores,2001-04-01,39719,1,2001-05-01
445,Food & beverage stores,2001-03-01,39723,1,2001-05-01
445,Food & beverage stores,2000-05-01,38646,1,2001-05-01
445,Food & beverage stores,2000-04-01,38741,1,2001-05-01
4451,Grocery stores,2001-05-01,36166,1,2001-05-01
4451,Grocery stores,2001-04-01,35960,1,2001-05-01
4451,Grocery stores,2001-03-01,35921,1,2001-05-01
4451,Grocery stores,2000-05-01,35061,1,2001-05-01
4451,Grocery stores,2000-04-01,35227,1,2001-05-01
4453,"Beer, wine & liquor stores",2001-05-01,(*),1,2001-05-01
4453,"Beer, wine & liquor stores",2001-04-01,2483,1,2001-05-01
4453,"Beer, wine & liquor stores",2001-03-01,2471,1,2001-05-01
4453,"Beer, wine & liquor stores",2000-05-01,2367,1,2001-05-01
4453,"Beer, wine & liquor stores",2000-04-01,2305,1,2001-05-01
446,Health & personal care stores,2001-05-01,14219,1,2001-05-01
446,Health & personal care stores,2001-04-01,14066,1,2001-05-01
446,Health & personal care stores,2001-03-01,14081,1,2001-05-01
446,Health & personal care stores,2000-05-01,13109,1,2001-05-01
446,Health & personal care stores,2000-04-01,12965,1,2001-05-01
44611,Pharmacies & drug stores,2001-05-01,(*),1,2001-05-01
44611,Pharmacies & drug stores,2001-04-01,12028,1,2001-05-01
44611,Pharmacies & drug stores,2001-03-01,12066,1,2001-05-01
44611,Pharmacies & drug stores,2000-05-01,11103,1,2001-05-01
44611,Pharmacies & drug stores,2000-04-01,10930,1,2001-05-01
447,Gasoline stations,2001-05-01,21226,1,2001-05-01
447,Gasoline stations,2001-04-01,20941,1,2001-05-01
447,Gasoline stations,2001-03-01,20103,1,2001-05-01
447,Gasoline stations,2000-05-01,19871,1,2001-05-01
447,Gasoline stations,2000-04-01,20032,1,2001-05-01
448,Clothing & clothing accessories stores,2001-05-01,14253,1,2001-05-01
448,Clothing & clothing accessories stores,2001-04-01,14404,1,2001-05-01
