naics,description,as_of_date,value,is_sa,release_as_of_date
"Retail & food services,   total","Retail & food services,   total",2012-11-01,414571.0,0,2012-11-01
"Retail & food services,   total","Retail & food services,   total",2012-10-01,404373.0,0,2012-11-01
"Retail & food services,   total","Retail & food services,   total",2012-09-01,391105.0,0,2012-11-01
"Retail & food services,   total","Retail & food services,   total",2011-11-01,395724.0,0,2012-11-01
"Retail & food services,   total","Retail & food services,   total",2011-10-01,384345.0,0,2012-11-01
Total (excl motor vehicle & parts),Total (excl motor vehicle & parts),2012-11-01,346050.0,0,2012-11-01
Total (excl motor vehicle & parts),Total (excl motor vehicle & parts),2012-10-01,331872.0,0,2012-11-01
Total (excl motor vehicle & parts),Total (excl motor vehicle & parts),2012-09-01,319583.0,0,2012-11-01
Total (excl motor vehicle & parts),Total (excl motor vehicle & parts),2011-11-01,330984.0,0,2012-11-01
Total (excl motor vehicle & parts),Total (excl motor vehicle & parts),2011-10-01,317494.0,0,2012-11-01
Retail,Retail,2012-11-01,371821.0,0,2012-11-01
Retail,Retail,2012-10-01,360301.0,0,2012-11-01
Retail,Retail,2012-09-01,347544.0,0,2012-11-01
Retail,Retail,2011-11-01,355969.0,0,2012-11-01
Retail,Retail,2011-10-01,341995.0,0,2012-11-01
GAFO4,GAFO4,2012-11-01,(*),0,2012-11-01
GAFO4,GAFO4,2012-10-01,93932.0,0,2012-11-01
GAFO4,GAFO4,2012-09-01,91848.0,0,2012-11-01
GAFO4,GAFO4,2011-11-01,107147.0,0,2012-11-01
GAFO4,GAFO4,2011-10-01,93453.0,0,2012-11-01
441,Motor vehicle & parts dealers,2012-11-01,68521.0,0,2012-11-01
441,Motor vehicle & parts dealers,2012-10-01,72501.0,0,2012-11-01
441,Motor vehicle & parts dealers,2012-09-01,71522.0,0,2012-11-01
441,Motor vehicle & parts dealers,2011-11-01,64740.0,0,2012-11-01
441,Motor vehicle & parts dealers,2011-10-01,66851.0,0,2012-11-01
"4411, 4412",Auto & other motor veh dealers,2012-11-01,61917.0,0,2012-11-01
"4411, 4412",Auto & other motor veh dealers,2012-10-01,65179.0,0,2012-11-01
"4411, 4412",Auto & other motor veh dealers,2012-09-01,64778.0,0,2012-11-01
"4411, 4412",Auto & other motor veh dealers,2011-11-01,57946.0,0,2012-11-01
"4411, 4412",Auto & other motor veh dealers,2011-10-01,59790.0,0,2012-11-01
44111,New car dealers,2012-11-01,(*),0,2012-11-01
44111,New car dealers,2012-10-01,54772.0,0,2012-11-01
44111,New car dealers,2012-09-01,54370.0,0,2012-11-01
44111,New car dealers,2011-11-01,49240.0,0,2012-11-01
44111,New car dealers,2011-10-01,50532.0,0,2012-11-01
4413,"Auto parts, acc & tire stores",2012-11-01,(*),0,2012-11-01
4413,"Auto parts, acc & tire stores",2012-10-01,7322.0,0,2012-11-01
4413,"Auto parts, acc & tire stores",2012-09-01,6744.0,0,2012-11-01
4413,"Auto parts, acc & tire stores",2011-11-01,6794.0,0,2012-11-01
4413,"Auto parts, acc & tire stores",2011-10-01,7061.0,0,2012-11-01
442,Furniture & home furn stores,2012-11-01,8641.0,0,2012-11-01
442,Furniture & home furn stores,2012-10-01,7620.0,0,2012-11-01
442,Furniture & home furn stores,2012-09-01,7814.0,0,2012-11-01
442,Furniture & home furn stores,2011-11-01,8110.0,0,2012-11-01
442,Furniture & home furn stores,2011-10-01,7098.0,0,2012-11-01
4421,Furniture stores,2012-11-01,(*),0,2012-11-01
4421,Furniture stores,2012-10-01,3864.0,0,2012-11-01
4421,Furniture stores,2012-09-01,4233.0,0,2012-11-01
4421,Furniture stores,2011-11-01,4185.0,0,2012-11-01
4421,Furniture stores,2011-10-01,3784.0,0,2012-11-01
4422,Home furnishings stores,2012-11-01,(*),0,2012-11-01
4422,Home furnishings stores,2012-10-01,3756.0,0,2012-11-01
4422,Home furnishings stores,2012-09-01,3581.0,0,2012-11-01
4422,Home furnishings stores,2011-11-01,3925.0,0,2012-11-01
4422,Home furnishings stores,2011-10-01,3314.0,0,2012-11-01
443,Electronics & appliance stores,2012-11-01,9986.0,0,2012-11-01
443,Electronics & appliance stores,2012-10-01,7280.0,0,2012-11-01
443,Electronics & appliance stores,2012-09-01,7436.0,0,2012-11-01
443,Electronics & appliance stores,2011-11-01,9969.0,0,2012-11-01
443,Electronics & appliance stores,2011-10-01,7695.0,0,2012-11-01
"44311, 13","Appl, TV & camera",2012-11-01,(*),0,2012-11-01
"44311, 13","Appl, TV & camera",2012-10-01,5411.0,0,2012-11-01
"44311, 13","Appl, TV & camera",2012-09-01,5521.0,0,2012-11-01
"44311, 13","Appl, TV & camera",2011-11-01,7340.0,0,2012-11-01
"44311, 13","Appl, TV & camera",2011-10-01,5643.0,0,2012-11-01
44312,Computer & software stores,2012-11-01,(*),0,2012-11-01
44312,Computer & software stores,2012-10-01,1869.0,0,2012-11-01
44312,Computer & software stores,2012-09-01,1915.0,0,2012-11-01
44312,Computer & software stores,2011-11-01,2629.0,0,2012-11-01
44312,Computer & software stores,2011-10-01,2052.0,0,2012-11-01
444,Building material & garden eq &  supplies dealers,2012-11-01,24601.0,0,2012-11-01
444,Building material & garden eq &  supplies dealers,2012-10-01,25762.0,0,2012-11-01
444,Building material & garden eq &  supplies dealers,2012-09-01,23353.0,0,2012-11-01
444,Building material & garden eq &  supplies dealers,2011-11-01,23222.0,0,2012-11-01
444,Building material & garden eq &  supplies dealers,2011-10-01,24018.0,0,2012-11-01
4441,Building mat & sup dealers,2012-11-01,(*),0,2012-11-01
4441,Building mat & sup dealers,2012-10-01,22049.0,0,2012-11-01
4441,Building mat & sup dealers,2012-09-01,20165.0,0,2012-11-01
4441,Building mat & sup dealers,2011-11-01,19764.0,0,2012-11-01
4441,Building mat & sup dealers,2011-10-01,20390.0,0,2012-11-01
445,Food & beverage stores,2012-11-01,53609.0,0,2012-11-01
445,Food & beverage stores,2012-10-01,52924.0,0,2012-11-01
445,Food & beverage stores,2012-09-01,51689.0,0,2012-11-01
445,Food & beverage stores,2011-11-01,51730.0,0,2012-11-01
445,Food & beverage stores,2011-10-01,51298.0,0,2012-11-01
4451,Grocery stores,2012-11-01,47804.0,0,2012-11-01
4451,Grocery stores,2012-10-01,47519.0,0,2012-11-01
4451,Grocery stores,2012-09-01,46475.0,0,2012-11-01
4451,Grocery stores,2011-11-01,46338.0,0,2012-11-01
4451,Grocery stores,2011-10-01,46057.0,0,2012-11-01
4453,"Beer, wine & liquor stores",2012-11-01,(*),0,2012-11-01
4453,"Beer, wine & liquor stores",2012-10-01,3676.0,0,2012-11-01
4453,"Beer, wine & liquor stores",2012-09-01,3551.0,0,2012-11-01
4453,"Beer, wine & liquor stores",2011-11-01,3725.0,0,2012-11-01
4453,"Beer, wine & liquor stores",2011-10-01,3593.0,0,2012-11-01
446,Health & personal care stores,2012-11-01,22582.0,0,2012-11-01
446,Health & personal care stores,2012-10-01,22949.0,0,2012-11-01
446,Health & personal care stores,2012-09-01,21468.0,0,2012-11-01
446,Health & personal care stores,2011-11-01,22468.0,0,2012-11-01
446,Health & personal care stores,2011-10-01,22622.0,0,2012-11-01
44611,Pharmacies & drug stores,2012-11-01,(*),0,2012-11-01
44611,Pharmacies & drug stores,2012-10-01,19328.0,0,2012-11-01
44611,Pharmacies & drug stores,2012-09-01,17714.0,0,2012-11-01
44611,Pharmacies & drug stores,2011-11-01,19048.0,0,2012-11-01
44611,Pharmacies & drug stores,2011-10-01,19214.0,0,2012-11-01
447,Gasoline stations,2012-11-01,43296.0,0,2012-11-01
447,Gasoline stations,2012-10-01,47894.0,0,2012-11-01
447,Gasoline stations,2012-09-01,46481.0,0,2012-11-01
447,Gasoline stations,2011-11-01,42312.0,0,2012-11-01
447,Gasoline stations,2011-10-01,44421.0,0,2012-11-01
448,Clothing & clothing accessories  stores,2012-11-01,22614.0,0,2012-11-01
448,Clothing & clothing accessories  stores,2012-10-01,18990.0,0,2012-11-01
448,Clothing & clothing accessories  stores,2012-09-01,18392.0,0,2012-11-01
448,Clothing & clothing accessories  stores,2011-11-01,20787.0,0,2012-11-01
448,Clothing & clothing accessories  stores,2011-10-01,18095.0,0,2012-11-01
44811,Men's clothing stores,2012-11-01,(*),0,2012-11-01
44811,Men's clothing stores,2012-10-01,734.0,0,2012-11-01
44811,Men's clothing stores,2012-09-01,712.0,0,2012-11-01
44811,Men's clothing stores,2011-11-01,766.0,0,2012-11-01
44811,Men's clothing stores,2011-10-01,740.0,0,2012-11-01
44812,Women's clothing stores,2012-11-01,(*),0,2012-11-01
44812,Women's clothing stores,2012-10-01,3482.0,0,2012-11-01
44812,Women's clothing stores,2012-09-01,3337.0,0,2012-11-01
44812,Women's clothing stores,2011-11-01,3505.0,0,2012-11-01
44812,Women's clothing stores,2011-10-01,3180.0,0,2012-11-01
44814,Family clothing stores,2012-11-01,(*),0,2012-11-01
44814,Family clothing stores,2012-10-01,7431.0,0,2012-11-01
44814,Family clothing stores,2012-09-01,7069.0,0,2012-11-01
