sic,description,as_of_date,value,is_sa,release_as_of_date
53,General merchandise group stores,1994-01-01,22664,1,1994-01-01
541,Grocery stores,1994-01-01,31504,1,1994-01-01
56,Apparel and accessory stores,1994-01-01,8854,1,1994-01-01
58,Eating and drinking places,1994-01-01,18069,1,1994-01-01
591,Drug and proprietary stores,1994-01-01,6958,1,1994-01-01
553,Auto and home supply stores,1993-01-01,2931,1,1994-01-01
571,Furniture and home furnishings,1993-01-01,4774,1,1994-01-01
"5722,31,34","Household appliance, radio,and TV stores",1993-01-01,3661,1,1994-01-01
53,General merchandise group stores,1993-01-01,21543,1,1994-01-01
541,Grocery stores,1993-01-01,30410,1,1994-01-01
56,Apparel and accessory stores,1993-01-01,9087,1,1994-01-01
58,Eating and drinking places,1993-01-01,17240,1,1994-01-01
591,Drug and proprietary stores,1993-01-01,6469,1,1994-01-01
592,Liquor stores,1993-01-01,2090,1,1994-01-01
5961,Mail-order houses (departmentstore merchandise),1993-01-01,(NA),1,1994-01-01
53,General merchandise group stores,1994-01-01,16872,0,1994-01-01
541,Grocery stores,1994-01-01,30433,0,1994-01-01
56,Apparel and accessory stores,1994-01-01,6490,0,1994-01-01
58,Eating and drinking places,1994-01-01,16551,0,1994-01-01
591,Drug and proprietary stores,1994-01-01,6638,0,1994-01-01
553,Auto and home supply stores,1993-01-01,2462,0,1994-01-01
571,Furniture and home furnishings,1993-01-01,4330,0,1994-01-01
"5722,31,34","Household appliance, radio,and TV stores",1993-01-01,3383,0,1994-01-01
53,General merchandise group stores,1993-01-01,16098,0,1994-01-01
541,Grocery stores,1993-01-01,29589,0,1994-01-01
56,Apparel and accessory stores,1993-01-01,6687,0,1994-01-01
58,Eating and drinking places,1993-01-01,15947,0,1994-01-01
591,Drug and proprietary stores,1993-01-01,6152,0,1994-01-01
592,Liquor stores,1993-01-01,1873,0,1994-01-01
5961,Mail-order houses (departmentstore merchandise),1993-01-01,328,0,1994-01-01
53,General merchandise group stores,1994-02-01,23237,1,1994-02-01
541,Grocery stores,1994-02-01,32011,1,1994-02-01
56,Apparel and accessory stores,1994-02-01,8899,1,1994-02-01
58,Eating and drinking places,1994-02-01,17499,1,1994-02-01
591,Drug and proprietary stores,1994-02-01,6730,1,1994-02-01
553,Auto and home supply stores,1993-02-01,3012,1,1994-02-01
571,Furniture and home furnishings,1993-02-01,4649,1,1994-02-01
"5722,31,34","Household appliance, radio,TV &computer stores",1993-02-01,3612,1,1994-02-01
53,General merchandise group stores,1993-02-01,21519,1,1994-02-01
541,Grocery stores,1993-02-01,30864,1,1994-02-01
56,Apparel and accessory stores,1993-02-01,8886,1,1994-02-01
