sic,description,as_of_date,value,is_sa,release_as_of_date
,"Retail trade, total",1994-01-01,180964,1,1994-01-01
,"Retail trade, total",1993-12-01,181961,1,1994-01-01
,"Retail trade, total",1993-11-01,179755,1,1994-01-01
,Total (excl. auto),1994-01-01,140270,1,1994-01-01
,Total (excl. auto),1993-12-01,140722,1,1994-01-01
,Total (excl. auto),1993-11-01,139294,1,1994-01-01
,"Durable goods, total",1994-01-01,69931,1,1994-01-01
,"Durable goods, total",1993-12-01,71046,1,1994-01-01
,"Durable goods, total",1993-11-01,69641,1,1994-01-01
,"supply, and mobile home dealers",1994-01-01,10315,1,1994-01-01
,"supply, and mobile home dealers",1993-12-01,10565,1,1994-01-01
,"supply, and mobile home dealers",1993-11-01,10165,1,1994-01-01
"521,3",Building mat. and supply stores,1994-01-01,(*),1,1994-01-01
"521,3",Building mat. and supply stores,1993-12-01,7590,1,1994-01-01
"521,3",Building mat. and supply stores,1993-11-01,7343,1,1994-01-01
525,Hardware stores,1994-01-01,(*),1,1994-01-01
525,Hardware stores,1993-12-01,1129,1,1994-01-01
525,Hardware stores,1993-11-01,1122,1,1994-01-01
55 ex. 554,Automotive dealers,1994-01-01,40694,1,1994-01-01
55 ex. 554,Automotive dealers,1993-12-01,41239,1,1994-01-01
55 ex. 554,Automotive dealers,1993-11-01,40461,1,1994-01-01
"6,7,9",automotive dealers,1994-01-01,37704,1,1994-01-01
"6,7,9",automotive dealers,1993-12-01,38282,1,1994-01-01
"6,7,9",automotive dealers,1993-11-01,37449,1,1994-01-01
551,Motor vehicle (franchised),1994-01-01,(*),1,1994-01-01
553,Auto and home supply stores,1994-01-01,(*),1,1994-01-01
553,Auto and home supply stores,1993-12-01,2957,1,1994-01-01
553,Auto and home supply stores,1993-11-01,3012,1,1994-01-01
,equipment stores,1994-01-01,10368,1,1994-01-01
,equipment stores,1993-12-01,10471,1,1994-01-01
,equipment stores,1993-11-01,10381,1,1994-01-01
571,Furniture and home furnishings,1994-01-01,(*),1,1994-01-01
571,Furniture and home furnishings,1993-12-01,5186,1,1994-01-01
571,Furniture and home furnishings,1993-11-01,5153,1,1994-01-01
,and TV stores,1994-01-01,(*),1,1994-01-01
,and TV stores,1993-12-01,4267,1,1994-01-01
,and TV stores,1993-11-01,4228,1,1994-01-01
5722,Household appliance stores,1994-01-01,(*),1,1994-01-01
,"Nondurable goods, total",1994-01-01,111033,1,1994-01-01
,"Nondurable goods, total",1993-12-01,110915,1,1994-01-01
,"Nondurable goods, total",1993-11-01,110114,1,1994-01-01
53,General merchandise group stores,1994-01-01,22664,1,1994-01-01
53,General merchandise group stores,1993-12-01,22550,1,1994-01-01
53,General merchandise group stores,1993-11-01,22516,1,1994-01-01
531,Dept. stores (ex. leased depts.),1994-01-01,17392,1,1994-01-01
531,Dept. stores (ex. leased depts.),1993-12-01,17198,1,1994-01-01
531,Dept. stores (ex. leased depts.),1993-11-01,17133,1,1994-01-01
531,Dept. stores (in. leased depts.),1993-12-01,17593,1,1994-01-01
531,Dept. stores (in. leased depts.),1993-11-01,17540,1,1994-01-01
533,Variety stores,1994-01-01,(*),1,1994-01-01
533,Variety stores,1993-12-01,448,1,1994-01-01
533,Variety stores,1993-11-01,489,1,1994-01-01
539,Misc. general mdse. stores,1994-01-01,(*),1,1994-01-01
539,Misc. general mdse. stores,1993-12-01,4904,1,1994-01-01
539,Misc. general mdse. stores,1993-11-01,4894,1,1994-01-01
54,Food stores,1994-01-01,33580,1,1994-01-01
54,Food stores,1993-12-01,33624,1,1994-01-01
54,Food stores,1993-11-01,33362,1,1994-01-01
541,Grocery stores,1994-01-01,31504,1,1994-01-01
541,Grocery stores,1993-12-01,31373,1,1994-01-01
541,Grocery stores,1993-11-01,31264,1,1994-01-01
554,Gasoline service stations,1994-01-01,11336,1,1994-01-01
554,Gasoline service stations,1993-12-01,11101,1,1994-01-01
554,Gasoline service stations,1993-11-01,11000,1,1994-01-01
56,Apparel and accessory stores,1994-01-01,8854,1,1994-01-01
56,Apparel and accessory stores,1993-12-01,9003,1,1994-01-01
56,Apparel and accessory stores,1993-11-01,9073,1,1994-01-01
,and furnishings stores,1994-01-01,(*),1,1994-01-01
,and furnishings stores,1993-12-01,746,1,1994-01-01
,and furnishings stores,1993-11-01,755,1,1994-01-01
,"stores, furriers",1994-01-01,(*),1,1994-01-01
,"stores, furriers",1993-12-01,3191,1,1994-01-01
,"stores, furriers",1993-11-01,3187,1,1994-01-01
565,Family clothing stores,1994-01-01,(*),1,1994-01-01
566,Shoe stores,1994-01-01,(*),1,1994-01-01
566,Shoe stores,1993-12-01,1473,1,1994-01-01
566,Shoe stores,1993-11-01,1450,1,1994-01-01
58,Eating and drinking places,1994-01-01,18069,1,1994-01-01
58,Eating and drinking places,1993-12-01,18297,1,1994-01-01
58,Eating and drinking places,1993-11-01,18123,1,1994-01-01
591,Drug and proprietary stores,1994-01-01,6958,1,1994-01-01
591,Drug and proprietary stores,1993-12-01,6829,1,1994-01-01
591,Drug and proprietary stores,1993-11-01,6721,1,1994-01-01
592,Liquor stores,1994-01-01,(*),1,1994-01-01
592,Liquor stores,1993-12-01,1917,1,1994-01-01
592,Liquor stores,1993-11-01,1931,1,1994-01-01
,store merchandise),1994-01-01,(*),1,1994-01-01
594,GAF,1994-01-01,(*),1,1994-01-01
594,GAF,1993-12-01,48929,1,1994-01-01
594,GAF,1993-11-01,48861,1,1994-01-01
,"Retail trade, total",1993-01-01,169187,1,1994-01-01
,"Retail trade, total",1992-12-01,168829,1,1994-01-01
,Total (excl. auto),1993-01-01,133775,1,1994-01-01
,Total (excl. auto),1992-12-01,134007,1,1994-01-01
,"Durable goods, total",1993-01-01,62418,1,1994-01-01
,"Durable goods, total",1992-12-01,61500,1,1994-01-01
,"supply, and mobile home dealers",1993-01-01,8924,1,1994-01-01
,"supply, and mobile home dealers",1992-12-01,8998,1,1994-01-01
"521,3",Building mat. and supply stores,1993-01-01,6471,1,1994-01-01
"521,3",Building mat. and supply stores,1992-12-01,6452,1,1994-01-01
525,Hardware stores,1993-01-01,1071,1,1994-01-01
525,Hardware stores,1992-12-01,1069,1,1994-01-01
55 ex. 554,Automotive dealers,1993-01-01,35412,1,1994-01-01
55 ex. 554,Automotive dealers,1992-12-01,34822,1,1994-01-01
"6,7,9",automotive dealers,1993-01-01,32481,1,1994-01-01
"6,7,9",automotive dealers,1992-12-01,31879,1,1994-01-01
553,Auto and home supply stores,1993-01-01,2931,1,1994-01-01
553,Auto and home supply stores,1992-12-01,2943,1,1994-01-01
,equipment stores,1993-01-01,9407,1,1994-01-01
,equipment stores,1992-12-01,9359,1,1994-01-01
571,Furniture and home furnishings,1993-01-01,4774,1,1994-01-01
571,Furniture and home furnishings,1992-12-01,4815,1,1994-01-01
,and TV stores,1993-01-01,3661,1,1994-01-01
,and TV stores,1992-12-01,3588,1,1994-01-01
,"Nondurable goods, total",1993-01-01,106769,1,1994-01-01
,"Nondurable goods, total",1992-12-01,107329,1,1994-01-01
53,General merchandise group stores,1993-01-01,21543,1,1994-01-01
53,General merchandise group stores,1992-12-01,21112,1,1994-01-01
531,Dept. stores (ex. leased depts.),1993-01-01,16400,1,1994-01-01
531,Dept. stores (ex. leased depts.),1992-12-01,16068,1,1994-01-01
531,Dept. stores (in. leased depts.),1993-01-01,16938,1,1994-01-01
531,Dept. stores (in. leased depts.),1992-12-01,16493,1,1994-01-01
533,Variety stores,1993-01-01,536,1,1994-01-01
533,Variety stores,1992-12-01,552,1,1994-01-01
539,Misc. general mdse. stores,1993-01-01,4607,1,1994-01-01
539,Misc. general mdse. stores,1992-12-01,4492,1,1994-01-01
54,Food stores,1993-01-01,32438,1,1994-01-01
54,Food stores,1992-12-01,32590,1,1994-01-01
541,Grocery stores,1993-01-01,30410,1,1994-01-01
541,Grocery stores,1992-12-01,30450,1,1994-01-01
554,Gasoline service stations,1993-01-01,11221,1,1994-01-01
554,Gasoline service stations,1992-12-01,11159,1,1994-01-01
56,Apparel and accessory stores,1993-01-01,9087,1,1994-01-01
56,Apparel and accessory stores,1992-12-01,9109,1,1994-01-01
,and furnishings stores,1993-01-01,754,1,1994-01-01
,and furnishings stores,1992-12-01,751,1,1994-01-01
,"stores, furriers",1993-01-01,3419,1,1994-01-01
,"stores, furriers",1992-12-01,3350,1,1994-01-01
566,Shoe stores,1993-01-01,1397,1,1994-01-01
566,Shoe stores,1992-12-01,1413,1,1994-01-01
58,Eating and drinking places,1993-01-01,17240,1,1994-01-01
58,Eating and drinking places,1992-12-01,17408,1,1994-01-01
591,Drug and proprietary stores,1993-01-01,6469,1,1994-01-01
591,Drug and proprietary stores,1992-12-01,6331,1,1994-01-01
592,Liquor stores,1993-01-01,2090,1,1994-01-01
592,Liquor stores,1992-12-01,2129,1,1994-01-01
594,GAF,1993-01-01,46657,1,1994-01-01
594,GAF,1992-12-01,46050,1,1994-01-01
,"Retail trade, total",1994-01-01,157829,0,1994-01-01
,"Retail trade, total",1993-12-01,219688,0,1994-01-01
,"Retail trade, total",1993-11-01,181662,0,1994-01-01
,Total (excl. auto),1994-01-01,123385,0,1994-01-01
,Total (excl. auto),1993-12-01,182501,0,1994-01-01
,Total (excl. auto),1993-11-01,144519,0,1994-01-01
,"Durable goods, total",1994-01-01,58545,0,1994-01-01
,"Durable goods, total",1993-12-01,77890,0,1994-01-01
,"Durable goods, total",1993-11-01,66811,0,1994-01-01
,"supply, and mobile home dealers",1994-01-01,7788,0,1994-01-01
,"supply, and mobile home dealers",1993-12-01,9723,0,1994-01-01
,"supply, and mobile home dealers",1993-11-01,9560,0,1994-01-01
"521,3",Building mat. and supply stores,1994-01-01,(*),0,1994-01-01
"521,3",Building mat. and supply stores,1993-12-01,6656,0,1994-01-01
"521,3",Building mat. and supply stores,1993-11-01,7101,0,1994-01-01
525,Hardware stores,1994-01-01,(*),0,1994-01-01
525,Hardware stores,1993-12-01,1218,0,1994-01-01
525,Hardware stores,1993-11-01,1119,0,1994-01-01
55 ex. 554,Automotive dealers,1994-01-01,34444,0,1994-01-01
55 ex. 554,Automotive dealers,1993-12-01,37187,0,1994-01-01
55 ex. 554,Automotive dealers,1993-11-01,37143,0,1994-01-01
"6,7,9",automotive dealers,1994-01-01,31935,0,1994-01-01
"6,7,9",automotive dealers,1993-12-01,34339,0,1994-01-01
"6,7,9",automotive dealers,1993-11-01,34116,0,1994-01-01
551,Motor vehicle (franchised),1994-01-01,(*),0,1994-01-01
551,Motor vehicle (franchised),1993-12-01,30910,0,1994-01-01
551,Motor vehicle (franchised),1993-11-01,30524,0,1994-01-01
